Gene,mean_1_aerobic_t30_2_chlor, std_1_aerobic_t30_2_chlor,mean_1_aerobic_t60_2_chlor, std_1_aerobic_t60_2_chlor,mean_1_aerobic_t180_2_chlor, std_1_aerobic_t180_2_chlor,mean_1_aerobic_t30_6_nor, std_1_aerobic_t30_6_nor,mean_1_aerobic_t60_6_nor, std_1_aerobic_t60_6_nor,mean_1_aerobic_t180_6_Nor, std_1_aerobic_t180_6_Nor
rpsA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
fdx, 0.404, 1.326, 0.409, 0.151, 2.282, 1.781, 0.510, 1.122, 1.290, 0.772, 1.503, 2.100
ygfQ, -0.021, 0.796, 0.369, 0.180, 0.275, 0.262, -0.601, 1.061, -1.315, 0.991, -0.639, 0.521
yjaB, 0.292, 0.300, 0.608, 0.502, 0.558, 0.350, -0.863, 1.017, -0.274, 0.855, -0.593, 0.640
psrD, -1.550, 1.224, 0.020, 0.678, -0.130, 0.520, -1.161, 0.468, -1.463, 1.410, -1.413, 1.657
ybgE, 1.904, 0.552, 1.246, 0.900, 2.044, 1.011, 2.661, 1.651, 2.623, 1.949, 1.694, 1.332
rimK, -0.280, 0.860, 0.201, 0.479, 0.774, 0.741, -0.418, 0.757, -1.127, 1.050, 0.171, 1.030
crl, -inf, nan, inf, nan, 0.018, 0.247, -inf, nan, inf, nan, -0.569, 0.459
menB, 0.184, 0.240, 0.448, 0.361, 0.438, 0.592, -0.343, 0.684, -1.614, 0.839, -0.437, 0.467
yodC, 0.557, 0.748, 0.356, 0.198, -0.157, 0.398, 0.464, 1.251, 0.324, 0.560, -0.559, 0.543
dtpD, -0.598, 0.881, 0.350, 0.445, 0.153, 0.279, -0.726, 0.613, -0.591, 0.400, -0.387, 0.421
damX, 0.357, 0.494, -0.068, 0.457, 0.489, 0.311, -0.923, 0.747, -2.235, 0.415, -0.859, 0.447
hyfD, 0.544, 0.459, 0.412, 0.191, 0.418, 0.621, 0.633, 0.908, 0.769, 0.807, -0.002, 1.243
ilvD, 0.751, 0.903, 0.788, 0.572, 0.764, 1.310, 0.141, 1.633, -0.313, 1.809, 0.310, 1.273
allB, -0.398, 0.778, 0.309, 0.060, -0.008, 0.584, 0.023, 0.670, 0.012, 0.887, -0.884, 0.463
ybgK, 0.416, 0.558, 0.537, 0.466, 0.111, 0.217, 0.025, 0.555, -0.171, 1.077, -0.927, 0.424
yigZ, 0.856, 0.646, 0.204, 0.428, 1.304, 1.687, 0.670, 0.878, 0.273, 0.638, 0.620, 1.547
ivbL, 0.582, 0.415, 0.454, 0.486, 0.632, 0.217, 0.023, 1.405, -1.881, 1.731, -0.499, 0.394
dksA, 0.111, 1.053, 0.748, 0.630, 0.058, 0.665, -0.271, 0.497, -0.053, 0.891, -0.114, 0.734
amiC, 0.800, 0.669, 0.460, 0.490, 0.540, 0.434, -0.211, 0.483, -0.135, 0.659, -0.212, 0.446
paaB, 0.640, 0.433, 0.498, 0.241, 0.169, 0.138, 0.096, 0.541, -0.444, 0.414, -0.836, 0.112
nusG, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
ybaT, 0.577, 0.246, 0.436, 0.131, 0.280, 0.261, -0.007, 0.519, -0.382, 0.940, -0.808, 0.440
ftsB, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
dld, 0.246, 0.518, 0.847, 0.695, -0.125, 1.019, -0.292, 0.500, -1.257, 1.198, -0.989, 0.984
rpsT, nan, nan, nan, nan, inf, nan, nan, nan, nan, nan, inf, nan
ygbN, 0.623, 0.694, 0.549, 0.218, 0.304, 0.246, 0.168, 1.306, 0.114, 0.846, -0.521, 0.192
ybiV, -0.520, 0.645, 0.149, 0.470, 0.240, 0.079, -0.641, 1.185, -0.851, 0.519, -0.750, 0.268
pepN, -0.391, 1.677, -0.151, 1.235, 0.613, 0.672, 0.049, 0.458, -inf, nan, 0.027, 1.015
pqiB, -0.454, 1.112, 0.806, 0.894, -0.389, 0.440, -1.704, 1.490, -0.368, 1.968, -0.742, 0.955
dicC, -inf, nan, -inf, nan, -inf, nan, -inf, nan, -inf, nan, -0.668, 0.766
groS, inf, nan, 2.068, 1.471, inf, nan, inf, nan, 1.206, 0.823, inf, nan
msbA, nan, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
gmr, 0.081, 0.898, 0.378, 0.395, 0.356, 0.307, -0.843, 1.102, -0.649, 1.612, -0.403, 0.353
motB, -0.174, 0.834, -0.174, 0.284, -0.067, 0.168, -0.344, 1.234, -0.422, 1.241, -0.674, 0.360
xthA, 0.747, 0.207, 0.492, 0.500, 0.477, 0.201, -0.106, 0.643, 0.205, 0.830, -0.396, 0.288
galF, -0.341, 0.396, 0.174, 0.597, 0.282, 0.093, -1.516, 1.193, -0.509, 0.460, -0.661, 0.554
frmA, 0.224, 0.783, 0.769, 0.522, -0.058, 0.489, -0.621, 1.108, 0.036, 1.535, -1.120, 0.538
rihB, 0.483, 0.939, 0.298, 0.467, 0.298, 0.175, 0.290, 1.307, -0.813, 0.859, -0.527, 0.122
nudJ, 0.781, 0.469, 0.670, 0.320, 0.293, 0.230, -0.356, 1.350, -0.279, 0.912, -0.933, 0.230
pheP, 0.022, 0.588, 0.155, 0.259, 0.078, 0.454, -0.361, 0.895, -0.667, 0.359, -0.768, 0.252
ratB, 0.784, 0.656, 0.531, 0.161, 0.730, 0.938, 0.563, 0.705, -0.185, 1.830, -0.056, 0.830
yehS, -0.410, 0.711, 0.623, 0.883, -0.148, 0.748, -1.247, 0.659, -1.252, 1.716, -0.673, 0.431
ribD, 1.568, 1.125, 1.856, 1.148, inf, nan, 3.348, 1.989, 3.183, 1.810, inf, nan
moaC, 0.945, 0.704, 0.399, 0.700, 0.835, 0.526, 1.366, 1.093, -0.034, 0.769, 0.241, 0.428
rdgB, 0.799, 0.802, 0.476, 0.345, 0.296, 0.234, 1.421, 0.770, 0.508, 1.658, -0.486, 0.577
rmuC, 0.326, 0.420, 0.056, 0.300, 0.248, 0.395, -0.005, 0.674, -0.894, 1.056, -0.674, 0.752
lptE, inf, nan, -inf, nan, 0.617, 0.447, inf, nan, -inf, nan, 0.632, 0.515
yhdP, 1.093, 0.559, 0.268, 0.307, 0.203, 0.344, 0.218, 0.309, -0.345, 1.340, -0.555, 0.571
mppA, 0.322, 0.728, 0.261, 0.224, 0.104, 0.340, 0.123, 0.733, -0.453, 0.438, -0.660, 0.302
fhuC, 0.294, 0.877, 0.534, 0.170, 0.367, 0.246, 0.110, 0.431, 0.617, 0.842, -0.473, 0.104
narH, -0.058, 0.742, 0.584, 0.496, 0.359, 0.238, 0.427, 0.417, 0.591, 1.914, -0.683, 0.645
yeiP, 0.085, 1.505, 0.472, 0.568, 0.118, 0.530, -inf, nan, -1.787, 1.767, -0.574, 0.326
nfo, 0.357, 0.819, 0.399, 0.174, 0.021, 0.220, -0.012, 0.777, -0.471, 0.573, -0.621, 0.595
lplT, 0.667, 0.440, 0.566, 0.329, 0.738, 0.801, 0.546, 0.786, -0.556, 0.718, -0.239, 1.134
adiY, 0.289, 1.370, 0.545, 0.751, 0.604, 1.283, -inf, nan, -inf, nan, -0.360, 1.356
hchA, inf, nan, 0.071, 0.716, 0.026, 0.155, inf, nan, -0.525, 1.790, -0.885, 0.630
dapB, inf, nan, 1.551, 1.717, inf, nan, inf, nan, 0.440, 1.993, inf, nan
ymgE, -0.511, 0.914, 0.421, 0.154, -0.028, 0.267, -0.874, 1.651, 0.418, 1.032, -0.848, 0.364
rbbA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
recG, 1.092, 0.993, 0.118, 0.278, 0.469, 0.202, 0.325, 1.192, 1.420, 0.553, 0.324, 0.970
kdpA, 0.244, 0.756, 0.368, 0.255, 0.156, 0.188, 0.204, 0.960, -0.020, 0.337, -0.739, 0.207
cbrA, inf, nan, 0.031, 0.865, -0.003, 0.255, inf, nan, -0.991, 1.078, -1.243, 0.657
amiD, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
nupX, 0.927, 0.610, 0.709, 0.238, 0.296, 0.312, 0.387, 0.598, 0.323, 0.600, -0.368, 0.274
yjiN, 0.133, 0.795, 0.374, 0.315, -0.035, 0.455, -0.330, 1.342, -0.966, 1.416, -0.735, 0.402
rplF, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
hinT, -0.686, 1.109, -0.368, 1.070, 0.575, 1.190, -1.336, 1.772, -2.553, 2.463, -0.139, 0.507
carB, -0.295, 1.287, 0.512, 0.636, 0.310, 0.057, -inf, nan, -inf, nan, -0.689, 0.768
ssnA, -0.136, 0.793, inf, nan, -0.367, 0.854, -inf, nan, inf, nan, -0.911, 0.363
sufS, 0.422, 0.375, 0.383, 0.064, 0.149, 0.185, 0.279, 0.193, 0.804, 1.191, -0.421, 0.251
seqA, 0.995, 1.656, 2.108, 0.269, inf, nan, -0.136, 1.469, 2.075, 1.181, inf, nan
ybhS, 1.298, 0.472, 0.396, 0.283, 0.464, 0.160, 1.360, 1.048, 0.503, 1.153, -0.660, 0.390
yccU, 0.381, 0.657, 0.200, 0.341, 0.564, 0.802, 0.373, 1.015, 0.025, 1.749, -0.343, 0.710
fabZ, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
eutL, 0.356, 0.475, 0.339, 0.243, 0.248, 0.280, 0.550, 0.720, -0.810, 0.747, -0.416, 0.238
yfcR, 0.785, 0.571, 0.334, 0.335, -0.210, 0.218, 0.801, 0.524, 0.560, 0.870, -0.893, 0.431
atpD, 1.073, 0.391, 0.544, 0.121, 0.868, 0.188, 1.290, 0.367, 0.920, 0.631, 0.316, 0.404
hpt, 0.343, 0.535, 0.465, 0.253, 0.108, 0.450, 0.118, 0.283, -0.343, 0.573, -0.589, 0.345
yegX, -0.253, 0.683, 0.778, 0.886, 0.398, 0.470, -1.011, 2.244, -0.970, 1.915, -0.405, 0.351
csiD, 0.855, 0.555, 0.183, 0.223, 0.383, 0.747, -0.712, 0.663, -0.351, 0.328, 0.027, 1.037
nirB, -0.281, 0.622, 0.549, 0.239, 0.357, 0.499, -0.758, 0.613, 0.086, 0.871, -0.187, 0.182
insB-5, 0.989, 0.946, 0.897, 0.807, 0.232, 0.354, 0.789, 1.522, 0.453, 0.494, -0.753, 0.394
kdsB, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
mngA, 0.896, 0.086, 0.516, 0.408, 0.485, 0.390, 0.918, 0.896, 0.018, 0.726, -0.391, 0.159
yifE, 0.095, 1.117, 0.374, 0.376, 0.327, 0.211, 0.108, 0.653, -0.458, 1.176, -0.649, 0.622
degQ, 0.697, 0.788, 0.364, 0.751, 0.458, 0.504, 0.672, 0.903, -0.074, 2.707, -0.734, 0.163
uup, -0.008, 0.491, 0.206, 0.344, -0.125, 0.285, -0.056, 0.868, -0.403, 0.915, -0.679, 0.536
ulaR, 0.669, 0.810, 0.557, 0.587, 0.258, 0.183, 0.040, 1.025, -0.556, 1.062, -0.651, 0.188
lrp, 0.225, 0.429, 0.069, 0.695, -0.246, 0.286, -1.334, 1.452, -inf, nan, -0.817, 0.339
yphD, 0.253, 0.705, 0.475, 0.472, 0.090, 0.595, -0.598, 1.645, -1.230, 1.570, -1.435, 0.975
cvpA, 0.404, 0.725, 0.521, 0.361, 0.346, 0.150, -0.242, 1.385, -0.395, 1.771, -0.447, 0.616
ybiT, 0.020, 1.254, 0.574, 0.459, 0.703, 0.416, -0.877, 0.795, -1.000, 1.091, -0.573, 0.212
maeA, 0.258, 1.627, 0.083, 0.434, -0.035, 0.627, -0.366, 0.800, -0.795, 0.417, -0.762, 0.535
rplA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
xylA, 0.353, 0.613, 0.349, 0.141, -0.194, 0.480, 0.288, 0.442, -0.053, 1.053, -1.023, 0.408
rsuA, 0.370, 0.830, 0.602, 0.340, 0.302, 0.120, 0.193, 0.998, 0.175, 0.809, -0.316, 0.378
yafZ, 0.887, 0.962, 0.596, 0.643, 0.357, 0.419, 0.247, 1.746, -1.393, 2.629, -0.492, 0.288
glgB, 0.058, 0.672, 0.692, 0.753, 0.169, 0.297, -0.176, 0.482, 0.342, 1.502, -0.712, 0.428
rayT, 0.525, 0.498, 0.526, 0.679, 0.277, 0.476, 0.664, 0.562, -1.944, 1.428, -0.993, 0.924
nlpD, 0.525, 1.072, 0.159, 0.427, 0.127, 0.396, 0.007, 0.404, 0.143, 0.592, -0.533, 0.381
rplJ, nan, nan, inf, nan, inf, nan, nan, nan, nan, nan, nan, nan
glnS, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
leuU, nan, nan, nan, nan, inf, nan, nan, nan, inf, nan, inf, nan
rsmH, nan, nan, inf, nan, inf, nan, nan, nan, nan, nan, nan, nan
yhbQ, -1.397, 0.973, 0.139, 0.456, 0.115, 0.223, -2.195, 1.619, -inf, nan, -0.626, 0.360
aas, 0.540, 1.051, 0.295, 0.197, 0.334, 0.174, -0.032, 0.868, -0.704, 1.366, -0.637, 0.302
yecA, 0.394, 0.933, 0.623, 0.388, 0.057, 0.428, 0.274, 0.463, 0.758, 1.104, -0.532, 0.747
yhgF, 0.594, 0.623, 0.357, 0.490, 0.320, 0.220, -0.970, 0.611, -0.561, 1.252, -0.750, 0.334
dcp, -0.652, 0.839, 0.087, 0.381, 0.596, 0.236, -1.818, 0.668, 0.808, 1.446, 0.100, 0.953
xdhA, 0.062, 0.843, 0.406, 0.209, -0.383, 0.622, 0.321, 0.635, -1.349, 1.128, -0.729, 0.356
xylH, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
rlmI, 0.373, 1.072, 0.932, 0.940, 0.117, 0.656, -0.762, 1.602, -inf, nan, -0.657, 0.493
paaZ, 0.406, 0.931, 0.404, 0.152, 0.780, 1.103, -0.543, 0.443, -0.572, 0.772, -0.150, 0.858
yggI, 0.418, 1.350, 1.091, 1.087, 0.248, 0.097, 0.019, 1.848, -inf, nan, -1.105, 1.046
mdlB, 0.756, 0.364, 0.254, 0.257, 0.072, 0.140, 0.108, 0.524, 0.001, 0.922, -0.469, 0.197
yaeB, -0.110, 1.688, 0.387, 0.479, -0.144, 0.390, -0.157, 0.950, -0.759, 0.742, -1.586, 0.984
mdoH, 0.818, 0.446, 0.769, 0.472, 0.262, 0.404, 0.418, 0.398, 0.085, 0.586, -0.869, 0.101
tig, 0.206, 0.803, 0.215, 0.286, 0.443, 0.268, 0.303, 0.635, -0.167, 1.089, -0.192, 0.396
ybhF, 0.550, 0.719, 0.402, 0.562, 0.372, 0.325, 0.360, 0.529, -0.269, 0.931, -0.412, 0.357
tgt, 1.223, 0.522, 1.083, 0.509, 0.255, 0.880, 0.368, 2.124, -inf, nan, -0.511, 0.346
exuR, -0.255, 0.558, 0.378, 0.338, 0.272, 0.316, -0.608, 0.524, -0.364, 1.157, -0.577, 0.357
speB, 0.500, 0.850, 0.360, 0.271, 0.220, 0.319, 0.237, 0.918, -0.858, 1.302, -0.899, 0.472
flgL, 0.233, 0.214, 0.341, 0.203, 0.286, 0.220, -0.107, 0.404, -0.690, 0.629, -0.888, 0.258
argK, 0.538, 0.325, 0.309, 0.237, 0.293, 0.398, 0.065, 0.442, -0.003, 0.753, 0.042, 0.668
oppF, -0.326, 0.277, 0.389, 0.195, 0.033, 0.218, -0.838, 0.476, -0.908, 0.315, -0.826, 0.165
recX, 0.521, 1.005, 0.399, 0.641, 0.295, 0.210, -1.216, 1.588, -2.402, 1.517, -0.493, 0.385
ycaN, -0.224, 0.628, 0.161, 0.840, 0.421, 0.536, 0.226, 0.776, -0.280, 0.896, -0.713, 1.192
rutD, 0.052, 0.157, -0.143, 0.341, -0.449, 0.856, -0.130, 0.482, -0.528, 0.601, -0.768, 0.281
argX, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
araB, 0.558, 0.356, 0.401, 0.304, 0.153, 0.094, -0.216, 0.357, 0.132, 1.079, -0.703, 0.117
osmF, 0.398, 0.403, 0.689, 0.563, 0.436, 0.437, -0.085, 0.307, -0.314, 1.658, -0.601, 0.232
entH, 0.628, 0.727, 1.201, 0.979, 0.176, 0.451, 0.180, 0.821, 0.460, 1.593, -0.962, 1.196
fimZ, -0.591, 1.290, 0.562, 0.196, 0.548, 0.312, -0.657, 1.228, -0.497, 0.820, -0.128, 0.737
rhlE, 2.036, 1.054, -0.052, 0.928, 0.634, 0.687, 0.768, 1.858, 0.021, 3.174, -0.421, 0.457
caiA, 0.520, 0.294, 0.355, 0.249, 0.392, 0.360, 0.249, 0.430, 0.138, 0.964, -0.466, 0.298
fhuA, 0.009, 0.844, 0.248, 0.193, 0.363, 0.068, -0.097, 0.645, -0.478, 1.229, -0.302, 0.380
fbaB, -0.052, 0.971, inf, nan, inf, nan, -0.444, 1.651, inf, nan, inf, nan
flgM, 0.327, 0.541, 0.377, 0.172, 0.244, 0.124, -0.096, 0.737, -0.718, 0.402, -0.533, 0.171
yeeY, 1.035, 0.977, 0.647, 0.392, 0.284, 0.349, 0.066, 1.496, -0.648, 1.415, -0.480, 0.106
ydfH, 0.669, 0.740, 0.304, 0.361, 0.210, 0.232, 0.216, 0.982, -1.199, 0.470, -0.843, 0.860
yjeF, inf, nan, -0.681, 1.184, -inf, nan, inf, nan, -inf, nan, -inf, nan
aroL, 0.381, 0.232, 0.200, 0.183, -0.173, 0.757, -0.643, 0.618, 0.126, 0.590, -0.748, 0.112
fabD, inf, nan, inf, nan, 2.762, 1.087, inf, nan, nan, nan, 3.087, 0.341
phnC, -0.467, 0.321, 0.206, 0.159, 0.189, 0.630, -1.051, 0.393, -0.267, 0.792, -0.661, 0.327
ridA, 0.919, 1.567, 0.753, 0.678, 0.770, 0.722, 0.532, 1.403, -0.003, 2.309, -0.080, 0.447
cas2, -0.002, 0.721, 0.558, 0.921, 0.072, 0.113, -0.994, 1.055, 0.404, 0.563, -0.887, 0.639
ytfK, 0.376, 1.162, 0.587, 0.301, 0.209, 0.351, 0.076, 0.272, -0.490, 0.838, -0.607, 0.575
xerC, -0.620, 0.586, 0.145, 0.201, 0.612, 0.671, -0.193, 0.690, -0.380, 0.538, -0.047, 0.947
ydbD, 0.541, 1.018, 0.348, 0.224, 0.515, 1.103, 0.252, 1.378, -0.841, 1.046, -0.338, 1.114
yihV, 0.287, 1.056, 0.321, 0.325, 0.140, 0.278, 0.008, 0.770, -0.461, 0.871, -0.498, 0.536
clpS, 0.022, 0.999, 0.634, 0.271, -0.308, 0.178, 0.205, 1.477, 0.076, 1.747, -0.800, 0.225
mlaD, 0.968, 0.466, 0.580, 0.687, 0.248, 0.149, 0.913, 0.823, -0.299, 1.523, -0.425, 0.227
essQ, 1.008, 1.490, 0.706, 0.386, -0.212, 0.931, 0.190, 1.025, -0.115, 1.099, -0.788, 0.266
mnmE, 1.098, 0.230, 0.247, 0.283, 0.717, 0.745, 0.945, 0.986, 0.790, 1.211, 0.553, 1.694
lhr, 0.342, 0.380, 0.398, 0.215, 0.190, 0.342, -0.043, 0.641, 0.220, 0.960, -0.714, 0.469
yceG, 0.893, 0.502, 0.521, 0.270, 0.579, 0.074, -0.704, 1.505, -0.238, 1.916, -0.188, 0.170
glgC, 0.355, 0.369, 0.124, 0.250, -0.368, 0.748, -0.134, 0.851, 0.196, 0.700, -0.711, 0.450
sgbE, 0.678, 0.356, 0.461, 0.115, 0.684, 0.457, 0.449, 0.380, -0.004, 0.506, -0.558, 0.368
cspG, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
fxsA, 0.687, 0.358, 1.568, 1.456, -0.199, 0.261, -0.450, 1.311, 0.365, 0.367, -1.296, 0.799
paaF, 0.402, 0.231, 0.482, 0.310, 0.756, 0.909, 0.594, 0.928, 0.024, 1.350, 0.267, 1.172
sra, -0.755, 0.758, -0.051, 0.601, -0.290, 0.344, -0.879, 1.527, -0.498, 1.040, -1.132, 0.416
glnG, 0.831, 0.522, 1.314, 0.631, 3.140, 0.381, 1.530, 0.552, 2.029, 0.368, 3.022, 0.382
ynbE, -0.525, 1.044, 0.366, 0.561, 0.366, 0.081, -2.069, 0.097, 0.117, 2.056, -1.069, 1.045
rpsQ, inf, nan, nan, nan, nan, nan, inf, nan, nan, nan, nan, nan
uxaB, 0.521, 0.685, 0.607, 0.454, 0.569, 0.853, -0.748, 1.920, -1.007, 1.774, -0.479, 0.721
def, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
ygiA, 0.392, 0.793, 0.057, 0.727, 0.490, 0.379, -0.082, 0.415, -inf, nan, -0.705, 0.499
ycfJ, -0.369, 1.052, 0.528, 0.164, 0.373, 0.358, -0.578, 1.605, -0.887, 1.489, -0.547, 0.328
yiaC, 0.894, 0.847, 0.217, 0.207, 0.368, 0.220, 0.661, 0.631, -1.071, 0.936, -0.862, 0.601
ftsX, 0.047, 0.683, 0.850, 0.539, 2.274, 1.150, -0.942, 0.584, 0.199, 0.319, 1.840, 0.706
asnA, 0.256, 0.954, 0.200, 0.424, -0.007, 0.376, -0.035, 0.716, -0.529, 0.563, -1.223, 0.411
yeeL_2, nan, nan, -0.137, 1.111, -0.203, 0.752, inf, nan, -inf, nan, -0.821, 0.696
gsk, -0.352, 0.547, 0.505, 0.719, 0.474, 0.494, -0.599, 0.617, -0.555, 2.221, -0.124, 0.276
yfjR, 1.080, 0.556, 0.200, 0.594, 0.074, 0.610, 0.471, 1.070, -0.907, 1.315, -0.545, 0.509
dcuS, 0.114, 0.890, 0.588, 0.330, 0.214, 0.317, 0.152, 0.826, 0.288, 0.950, -0.416, 0.315
gadB, -0.883, 0.986, 0.442, 0.357, -0.225, 0.792, -2.158, 2.203, -1.242, 1.240, -0.802, 0.252
rrlC, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
gldA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
ycdU, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
tdcA, -0.024, 0.601, 0.232, 0.609, 0.136, 1.064, -0.327, 0.664, 0.008, 0.915, -0.651, 0.399
yecD, 1.142, 0.792, 0.706, 0.239, 0.220, 0.297, 0.548, 1.143, 0.734, 1.058, -0.971, 0.284
gatB, -0.352, 0.601, 0.152, 0.620, -0.216, 0.554, -0.411, 0.719, -0.718, 0.445, -0.939, 0.317
blc, 1.058, 0.414, 0.590, 0.335, 0.494, 0.270, 0.454, 1.309, 0.118, 1.491, -0.450, 0.309
atpG, 0.352, 0.722, 0.688, 0.257, 1.156, 0.348, 1.150, 1.262, 0.198, 0.378, -0.242, 0.076
gcvR, 0.660, 0.225, 1.174, 0.265, 2.482, 0.838, 1.994, 0.658, 1.206, 0.913, 1.699, 0.942
sapC, 0.193, 1.976, 0.971, 1.081, 0.868, 0.260, 0.213, 1.764, 0.182, 1.967, -0.552, 0.593
selA, 0.214, 0.476, 0.406, 0.434, 0.448, 0.319, 0.562, 0.406, -0.768, 0.881, -0.257, 0.701
yqcC, 0.377, 0.459, -0.154, 0.423, -0.150, 0.828, -0.567, 1.604, -1.508, 1.488, -0.515, 0.329
gpp, -0.352, 0.711, 0.216, 0.196, -0.237, 0.538, -1.285, 1.097, -0.496, 1.107, -1.790, 1.368
yibA, -inf, nan, 0.566, 1.263, -inf, nan, -inf, nan, -inf, nan, -inf, nan
malF, -1.432, 1.708, 0.421, 0.492, -0.107, 0.339, -1.135, 2.206, -1.210, 0.263, -0.687, 0.309
ylaC, -0.055, 1.079, 0.242, 0.572, 0.763, 0.313, -inf, nan, -0.905, 0.735, -0.290, 0.245
ydeH, 0.783, 1.199, 0.339, 0.238, 0.412, 0.168, 0.660, 0.612, -0.625, 0.839, -1.007, 0.873
lpxK, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yggP, -1.121, 0.920, 0.416, 0.631, -0.148, 0.270, -1.433, 0.577, -2.028, 0.502, -1.044, 0.896
yhfY, 0.678, 0.967, 0.928, 0.869, 0.425, 0.451, -0.122, 1.794, -0.335, 1.774, -0.743, 0.471
ydbA_1, nan, nan, inf, nan, nan, nan, inf, nan, inf, nan, nan, nan
xerD, 1.256, 0.653, 0.375, 0.351, 0.510, 0.583, 0.705, 0.829, 0.351, 0.820, -0.534, 0.146
ybgA, -0.331, 0.638, 0.157, 0.749, 0.641, 0.852, -1.214, 0.232, -0.475, 0.746, -0.084, 1.018
rhoL, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
uhpB, -0.242, 1.238, -0.024, 0.444, 0.300, 0.410, -0.013, 0.853, -0.866, 0.394, -0.259, 0.619
gltJ, 0.390, 0.615, 0.551, 0.580, 0.098, 0.183, -0.143, 0.367, -0.624, 1.039, -0.782, 0.263
nrfE, 1.131, 0.350, 0.553, 0.197, 0.262, 0.067, 0.379, 0.666, 0.045, 0.287, -0.921, 0.382
isrB, -0.452, 1.002, 0.590, 0.329, -0.221, 0.803, -0.617, 0.976, -0.721, 1.004, -0.391, 0.550
yhcF, 0.424, 0.208, 0.546, 0.320, 0.154, 0.424, 0.326, 0.428, 0.115, 0.600, -0.628, 0.294
rfaE, 0.726, 0.238, 0.915, 0.457, 1.904, 0.462, 2.214, 1.742, 2.646, 2.161, 5.239, 3.351
yncG, -0.076, 0.737, 0.018, 0.434, 0.174, 0.469, -0.513, 0.604, -0.677, 0.989, -0.781, 0.652
ftsH, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
hisB, -0.273, 0.710, 0.289, 0.270, -0.129, 0.712, -0.551, 1.280, -0.066, 0.065, -1.111, 0.736
gcvA, -0.012, 0.544, 0.314, 0.282, -0.195, 0.370, -1.549, 0.295, -1.649, 1.810, -1.199, 0.160
ydiF, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
sibA, nan, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
hemD, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
rlmM, inf, nan, inf, nan, 1.149, 1.714, inf, nan, nan, nan, 0.080, 2.290
ytfP, 0.267, 0.493, 0.362, 0.513, 0.344, 0.417, -0.119, 0.891, -0.683, 0.749, -1.271, 0.750
slmA, 0.678, 0.615, 0.471, 0.166, 0.282, 0.189, 0.382, 0.690, -0.755, 0.195, -0.691, 0.287
ppc, -0.382, 0.839, 0.190, 0.240, 0.158, 0.389, -0.907, 0.636, 0.004, 0.785, -0.646, 0.202
flgG, 0.207, 0.685, 0.463, 0.285, 0.367, 0.179, -0.133, 0.518, -0.163, 1.073, -0.495, 0.363
yfdP, 0.384, 1.168, 0.806, 0.611, 0.109, 0.960, -0.537, 1.665, -inf, nan, -1.123, 2.107
ypjA, 0.367, 0.963, 0.220, 0.536, -0.007, 1.027, 0.610, 1.114, -1.542, 2.147, -0.910, 0.837
bamA, inf, nan, 2.520, 0.567, 4.225, 0.728, inf, nan, 1.002, 1.275, 3.700, 0.839
tktB, 0.418, 0.464, 0.023, 0.269, 0.254, 0.346, -0.092, 0.550, -1.182, 0.163, -0.642, 0.167
hisC, 0.445, 1.330, 0.551, 0.449, 0.243, 0.343, -0.144, 1.163, -0.180, 0.550, -0.761, 0.285
pncB, 0.699, 0.925, 0.578, 0.351, 0.537, 0.468, 0.192, 0.482, -0.181, 0.634, -0.684, 0.295
ygiN, 0.023, 0.702, 0.724, 0.377, 0.444, 0.271, -0.293, 0.878, -0.849, 0.877, -0.192, 0.579
lar, 0.378, 2.106, 0.042, 0.617, -0.137, 0.494, -0.248, 1.014, -0.339, 1.524, -1.485, 0.233
yqgA, 0.105, 0.460, 0.710, 0.717, 0.255, 0.354, -0.629, 0.516, -0.342, 0.336, -1.446, 1.032
